"Listing ID","Sts","SubType","Address","Listing Contract Date","Activation Date","Purchase Contract Date","Close Date","City","County Or Parish","Original List Price","Days In MLS","Close Price","Current Price","RATIO Close Price By Original List Price","Concessions Amount","Bedrooms Total","Buyer Financing","Bathrooms Total Integer","Above Grade Finished Area","Building Area Total","Living Area","Parking Total","Association YN","Association Fee Total Annual"
"4743479","A","CON","2500 S York Street Unit# 102","12/03/2024","","","","Denver","Denver","$325,000","32","","$325,000","","","2","","2","1,026","1,026","1,026","2","Yes","$10,839.48"
"8246543","A","TWH","7995 E Mississippi Avenue Unit# C6","12/03/2024","","","","Denver","Denver","$298,000","32","","$289,000","","","2","","2","1,142","1,142","1,142","2","Yes","$6,372.00"
"7100008","A","CON","4899 S Dudley Street Unit# 7H","12/03/2024","","","","Littleton","Denver","$275,000","32","","$275,000","","","1","","1","618","618","618","1","Yes","$2,880.00"
"6673370","A","CON","5702 N Central Park Boulevard Unit# 116, Bldg 4","12/03/2024","","","","Denver","Denver","$227,500","32","","$227,500","","","2","","2","800","800","800","2","Yes","$2,400.00"
"4162532","P","SFR","1231 Perry Street Unit# 2","12/03/2024","","12/17/2024","","Denver","Denver","$795,000","14","","$785,000","","","3","","4","1,686","2,186","2,186","1","No","$0.00"
"8793705","P","SFR","550 Winona Court","12/03/2024","","12/13/2024","","Denver","Denver","$460,000","10","","$460,000","","","4","","2","834","1,668","1,584","2","No","$0.00"
"6403381","P","SFR","6570 N Ceylon Street","12/03/2024","","01/03/2025","","Denver","Denver","$475,000","31","","$460,000","","","3","","3","1,862","1,862","1,862","2","Yes","$528.00"
"7201443","C","TWH","19 N Ogden Street","12/03/2024","","12/09/2024","12/23/2024","Denver","Denver","$699,000","6","$699,000","$699,000","1.00000","0","3","Cash","4","2,278","2,693","2,693","2","Yes","$4,500.00"
"6484860","C","SFR","2623 W 26th Avenue Unit# 1","12/03/2024","","12/03/2024","01/02/2025","Denver","Denver","$649,900","0","$667,500","$667,500","1.02708","11,466","","Conventional","0","1,134","1,134","1,134","1","No","$0.00"
"5440754","C","SFR","2627 W 26th Avenue Unit# 2","12/03/2024","","12/03/2024","12/23/2024","Denver","Denver","$649,900","0","$649,900","$649,900","1.00000","15,000","","Conventional","0","1,134","1,134","1,134","1","No","$0.00"
"6232198","X","CON","650 S Clinton St Street Unit# 6, Bldg D","12/03/2024","2024-12-03","","","Denver","Denver","$229,700","28","","$215,000","","","1","","1","855","855","855","1","Yes","$6,180.00"
"5184673","A","SFR","5380 N Lariat Drive","12/03/2024","","","","Castle Rock","Douglas","$1,649,900","32","","$1,649,900","","","7","","9","5,440","5,440","5,440","24","Yes","$40.00"
"8793162","A","SFR","3891 Windchant Circle","12/03/2024","2024-12-03","","","Castle Rock","Douglas","$1,350,000","32","","$1,350,000","","","4","","5","3,389","5,149","4,764","5","Yes","$450.00"
"5305059","A","SFR","13881 Bunny Hop Lane","12/03/2024","","","","Parker","Douglas","$832,110","32","","$857,110","","","4","","4","2,940","4,274","2,940","2","Yes","$1,140.00"
"4632881","A","SFR","13873 Bunny Hop Lane","12/03/2024","","","","Parker","Douglas","$758,220","32","","$783,220","","","3","","2","1,806","3,149","1,806","2","Yes","$1,140.00"
"9568770","A","SFR","1170 Mcmurdo Circle","12/03/2024","2024-12-03","","","Castle Rock","Douglas","$777,000","32","","$777,000","","","5","","3","1,866","3,703","3,456","3","Yes","$1,072.00"
"7214526","A","SFR","2355 Woodhouse Lane","12/03/2024","2024-12-03","","","Castle Rock","Douglas","$725,000","32","","$725,000","","","4","","3","2,844","4,316","2,844","3","Yes","$1,036.00"
"2615441","A","SFR","11038 Snowdon Street","12/03/2024","","","","Parker","Douglas","$683,900","32","","$683,900","","","4","","3","2,397","2,397","2,397","2","Yes","$1,140.00"
"5853438","A","SFR","10752 Pikeview Lane","12/03/2024","2024-12-03","","","Parker","Douglas","$669,500","32","","$650,000","","","4","","3","2,161","2,771","2,504","2","Yes","$840.00"
"8840878","A","SFR","6428 Vista Cliff Loop","12/03/2024","2024-12-03","","","Castle Rock","Douglas","$647,000","32","","$644,000","","","3","","3","2,463","2,463","2,463","2","Yes","$720.00"
"3178393","A","TWH","6850 Merseyside Lane","12/03/2024","","","","Castle Pines","Douglas","$474,990","32","","$504,990","","","2","","3","1,291","1,291","1,291","1","Yes","$1,500.00"
"4740483","A","TWH","6900 Merseyside Lane","12/03/2024","","","","Castle Pines","Douglas","$474,990","32","","$499,990","","","2","","3","1,291","1,291","1,291","1","Yes","$1,500.00"
"8579736","A","CON","15455 Canyon Rim Drive Unit# 307","12/03/2024","","","","Englewood","Douglas","$415,000","32","","$415,000","","","2","","2","1,259","1,259","1,259","3","Yes","$3,594.96"
"5560093","P","SFR","15228 Rainbow Drive","12/03/2024","","12/04/2024","","Sedalia","Douglas","$899,000","1","","$899,000","","","3","","3","1,390","2,241","2,025","1","Yes","$600.00"
"7275963","P","SFR","16642 Autumn Rock Cove","12/03/2024","2024-12-03","12/11/2024","","Parker","Douglas","$715,000","8","","$715,000","","","3","","3","2,528","3,304","2,528","3","Yes","$220.00"
"6648096","P","SFR","13841 Bunny Hop Lane","12/03/2024","","12/10/2024","","Parker","Douglas","$637,920","7","","$637,920","","","3","","3","1,865","2,524","1,865","2","Yes","$1,140.00"
"7698023","A","TWH","8500 W 62nd Avenue Unit# D","12/03/2024","","","","Arvada","Jefferson","$749,000","32","","$749,000","","","3","","4","2,114","2,114","2,114","2","Yes","$3,000.00"
"6523697","A","SFR","6513 Teller Street","12/03/2024","2024-12-03","","","Arvada","Jefferson","$599,900","32","","$599,900","","","5","","2","1,295","2,443","2,443","2","No","$0.00"
"7110580","A","TWH","8099 S Trinchera Peak","12/03/2024","","","","Littleton","Jefferson","$485,000","32","","$485,000","","","4","","4","1,787","2,527","2,300","2","Yes","$8,256.00"
"8498712","P","SFR","9840 W 36th Avenue","12/03/2024","","12/10/2024","","Wheat Ridge","Jefferson","$744,900","7","","$744,900","","","5","","3","2,072","2,072","2,072","3","No","$0.00"
"9523214","P","SFR","530 Dover Street","12/03/2024","","12/08/2024","","Lakewood","Jefferson","$725,000","5","","$725,000","","","4","","2","1,456","2,912","2,129","1","No","$0.00"
"3527577","P","SFR","4947 S Wadsworth Boulevard","12/03/2024","","12/10/2024","","Littleton","Jefferson","$699,900","7","","$699,900","","","4","","3","2,445","2,445","2,445","2","Yes","$840.00"
